Adams A. | Venezia | A | Pc | 2% (12cr) | OK | "il Bisonte", titolare indiscusso
Troilo | Parma | D | Dc | 1cr | OK | occhio palle inattive
Varela G. | Monza | A | Pc | 2% (12cr) | OK | priorità assoluta
Vicario | Juventus | P | Por | 9% (54cr) | OK | meglio di Meret
Viery (corr.) | Fiorentina | D | Ds;Dc | 1% (6cr) | OK | preferito a Dragusin
Vitinha O. | Genoa | C/A | A | 1% (6cr) | ! | se serve completare
Vlasic | Torino | A | T | 6% (36cr) | OK | garanzia
Vojvoda (corr.) | Udinese | D | Dd;E | 1% (6cr) | OK | al posto di Kamara
Wesley | Roma | D | E | — | X | mai 9%
Woltemade (corr.) | Juventus | A | A | 18% (108cr) | OK | consigliato con forza
Yeboah J. | Venezia | A | A | 1% (6cr) | ! | alternativa a basso prezzo
Yildiz | Juventus | A | A | 6% (36cr) | ! | sceso di prezzo, ma fuori ~3 mesi, non priorità stasera
Zaccagni | Lazio | A | W;A | 6-7% (36-42cr) | X | mai 8%
Zaniolo (corr.) | Udinese | C | T;A | 6% (36cr) | OK | prima scelta — rientro ~10/10, solo qui, non alla Lazio
Zielinski | Inter | C | C | — | X | mai 6%
